DESTINO;ORIGEN; CANTI ; FOBDOL ; FOBPES 
USA;AXM;84;111249;440089316
PAN;AXM;9;8120;32122971
DEU;BOG;294;1837;7245317
DEU;BOG;195;679;2678303
DEU;BOG;360;1918;7562731
DEU;BOG;60;277;1094190
DEU;BOG;26;130;523724
DEU;BOG;299;1511;6042428
DEU;BOG;12;96;387455
DEU;BOG;3;21;85648
DEU;BOG;25453;13980;55900529
DEU;BOG;8320;21815;85791181
DEU;BOG;2540;1494;5868005
DEU;BOG;40;2;7890
DEU;BOG;36;15;58886
DEU;BOG;31;1500;5998815
DEU;BOG;3700;592;2324055
DEU;BOG;32840;5569;21866887
DEU;BOG;69;110274;436560252
DEU;BOG;1400;252;991012
DEU;BOG;25600;4411;17347441
DEU;BOG;500;1500;5974725
DEU;BOG;30;2502;9965841
DEU;BOG;10600;1908;7629157
DEU;BOG;81040;14528;57782796
DEU;BOG;50136;13865;55148535
DEU;BOG;2310;371;1496030
DEU;BOG;11830;2095;8432245
DEU;BOG;143;560;2234148
DEU;BOG;1374;6063;24190636
DEU;BOG;405;6055;24119327
DEU;BOG;560;19389;77216692
DEU;BOG;0;22500;89621313
DEU;BOG;11860;7616;30073660
DEU;BOG;216;11475;45403820
DEU;BOG;277;10214;40416087
DEU;BOG;771;14116;55855088
DEU;BOG;47;2639;10444698
DEU;BOG;110;3425;13553129
DEU;BOG;147;33328;133293642
DEU;BOG;440;683;2734061
DEU;BOG;1780;12055;48204037
DEU;BOG;288;214;856877
DEU;BOG;54155;19841;78605490
DEU;BOG;7;383;1499609
DEU;BOG;1;50;195771
DEU;BOG;12420;2235;8845732
DEU;BOG;525;5565;22162612
DEU;BOG;171;1486;5980380
DEU;BOG;5600;1064;4119222
DEU;BOG;8400;1592;6163348
DEU;BOG;5680;965;3860961
DEU;BOG;17160;3256;13019148
DEU;BOG;75940;13993;54935835
DEU;BOG;13410;2426;9574007
DEU;BOG;99968;18203;73079992
DEU;BOG;17163;18415;72847609
