DESTINO;ORIGEN; CANTI ; FOBDOL ; FOBPES 
USA;AXM;110;108.082,00;457.256.555,00
PAN;AXM;21;18.547,00;78.465.123,00
DEU;BOG;576;4.475,00;18.142.683,00
DEU;BOG;84;525;2.221.070,00
DEU;BOG;30;114;482.289,00
DEU;BOG;90;313;1.326.296,00
DEU;BOG;5;30;129.879,00
DEU;BOG;144;768;3.249.108,00
DEU;BOG;8;37;156.532,00
DEU;BOG;32;33.556,00;142.239.359,00
DEU;BOG;20;3.280,00;13.876.400,00
DEU;BOG;50;7.741,00;32.750.844,00
DEU;BOG;18;6.624,00;28.023.560,00
DEU;BOG;25;6.200,00;26.229.781,00
DEU;BOG;30;4.920,00;20.814.601,00
DEU;BOG;35;6.860,00;29.021.984,00
DEU;BOG;20;2.560,00;10.830.361,00
DEU;BOG;1.031,00;107.926,00;456.245.758,00
DEU;BOG;2;11.612,00;48.933.125,00
DEU;BOG;8.960,00;1.612,00;6.823.127,00
DEU;BOG;140;200.771,00;846.571.856,00
DEU;BOG;4.900,00;882;3.715.425,00
DEU;BOG;14.400,00;2.592,00;10.918.800,00
DEU;BOG;10.555,00;1.891,00;8.006.464,00
DEU;BOG;37.203,00;6.639,00;28.097.487,00
DEU;BOG;58.832,00;15.773,00;66.022.338,00
DEU;BOG;2.825,00;452;1.912.235,00
DEU;BOG;23.620,00;4.263,00;17.894.159,00
DEU;BOG;9;18;76.537,00
DEU;BOG;49;144;614.427,00
DEU;BOG;78;195;829.157,00
DEU;BOG;20;75;318.906,00
DEU;BOG;270;1.030,00;4.381.778,00
DEU;BOG;99;367;1.561.367,00
DEU;BOG;81;276;1.177.403,00
DEU;BOG;196;1.008,00;4.286.106,00
DEU;BOG;1.770,00;7.254,00;30.844.660,00
DEU;BOG;29;164;697.342,00
DEU;BOG;32;121;516.628,00
DEU;BOG;140;3.176,00;13.465.130,00
DEU;BOG;30;45.144,00;190.572.836,00
DEU;BOG;284;98.500,00;417.526.725,00
DEU;BOG;0;61.500,00;260.689.275,00
DEU;BOG;106.196,00;28.408,00;119.702.134,00
DEU;BOG;10;619;2.554.413,00
DEU;BOG;270;9.614,00;39.617.206,00
DEU;BOG;12;353;1.456.803,00
DEU;BOG;1;60;250.533,00
DEU;BOG;32;150;637.350,00
DEU;BOG;3;120;494.474,00
DEU;BOG;1;3.710,00;16.274.508,00
DEU;BOG;31;2.409,00;10.154.150,00
DEU;BOG;4;327;1.381.592,00
DEU;BOG;27;3.172,00;13.366.797,00
DEU;BOG;8;3.407,00;13.811.565,00
DEU;BOG;24;1.519,00;6.377.092,00
DEU;BOG;2;100;405.376,00
DEU;BOG;2;5.499,00;22.662.503,00
DEU;BOG;37.600,00;6.812,00;28.848.854,00
DEU;BOG;11.520,00;2.073,00;8.735.040,00
DEU;BOG;63.680,00;11.503,00;48.459.926,00
DEU;BOG;4.400,00;836;3.552.164,00
DEU;BOG;8.800,00;1.672,00;7.104.328,00
DEU;BOG;5.476,00;930;3.921.500,00
DEU;BOG;16.438,00;3.463,00;14.591.257,00
DEU;BOG;2.802,00;3.965,00;16.778.345,00
DEU;BOG;1;2.402,00;9.948.708,00
DEU;BOG;1;361;1.499.114,00
DEU;BOG;1;2.681,00;11.107.108,00
DEU;BOG;50;434;1.846.498,00
DEU;BOG;300;684;2.908.926,00
DEU;BOG;24.480,00;4.892,00;20.786.108,00
DEU;BOG;2.250,00;672;2.842.969,00
DEU;BOG;26.256,00;28.491,00;120.021.960,00
DEU;BOG;23.220,00;3.199,00;13.508.872,00
DEU;BOG;70.780,00;10.801,00;45.620.438,00
DEU;BOG;1.800,00;924;3.918.816,00
DEU;BOG;1.550,00;10.122,00;42.949.604,00
DEU;BOG;0;55.000,00;222.956.800,00
DEU;BOG;2.714,00;3.214,00;14.101.532,00
DEU;BOG;125;9.440,00;39.906.561,00
DEU;BOG;7.100,00;1.278,00;5.383.575,00
DEU;BOG;41.367,00;7.450,00;31.383.377,00
DEU;BOG;1;639;2.717.702,00
DEU;BOG;246;2.081,00;8.649.213,00
DEU;BOG;7.537,00;41.130,00;174.343.900,00
DEU;BOG;1.300,00;7.800,00;33.063.030,00
DEU;BOG;2;1;4.238,00
DEU;BOG;180;477;2.021.931,00
DEU;BOG;3.420,00;18.183,00;77.078.400,00
DEU;BOG;4.800,00;624;2.639.900,00
DEU;BOG;20;84;360.152,00
DEU;BOG;25;112;481.099,00
DEU;BOG;130;489;2.080.932,00
DEU;BOG;26;112;480.273,00
DEU;BOG;10;4;16.927,00
DEU;BOG;13;157;670.597,00
DEU;BOG;216;808;3.514.385,00
DEU;BOG;70;329;1.419.720,00
DEU;BOG;1.125,00;5.884,00;25.281.881,00
DEU;BOG;17;86;367.380,00
DEU;BOG;1.000,00;122;514.645,00
DEU;BOG;319;5.782,00;24.295.641,00
DEU;BOG;253.671,00;1.388,00;5.812.030,00
DEU;BOG;2.040,00;277;1.169.123,00
DEU;BOG;2.380,00;323;1.363.977,00
DEU;BOG;40.200,00;6.518,00;27.682.159,00
DEU;BOG;230.280,00;36.884,00;156.569.128,00
DEU;BOG;180;27;118.439,00
DEU;BOG;4.760,00;618;2.617.901,00
DEU;BOG;2.380,00;309;1.308.950,00
DEU;BOG;13.320,00;2.131,00;9.009.413,00
DEU;BOG;91.980,00;13.690,00;57.890.365,00
DEU;BOG;8.160,00;2.448,00;10.245.904,00
DEU;BOG;8;8.800,00;37.301.880,00
DEU;BOG;2;2.200,00;9.325.470,00
DEU;BOG;4.856,00;39.695,00;167.215.187,00
